phase,model,input_len,output_len,concurrency,num_prompts,completed,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,raw_json
prefill,meta-llama/Llama-3.2-3B,512,1,1,16,16,26.241041050525382,25.775150628760457,30.200187116861343,0.0,0.0,0.0,26.240879378747195,25.77501069754362,30.200008768588305,results/Llama-3.2-3B/raw/prefill_input512_c1.json
prefill,meta-llama/Llama-3.2-3B,1024,1,1,16,16,28.512069082353264,27.852327562868595,32.51088235992938,0.0,0.0,0.0,28.51191454101354,27.852196944877505,32.51073241699487,results/Llama-3.2-3B/raw/prefill_input1024_c1.json
prefill,meta-llama/Llama-3.2-3B,2048,1,1,16,16,44.22141524264589,44.460771372541785,52.69037117250264,0.0,0.0,0.0,44.22116852947511,44.460531091317534,52.69003298599273,results/Llama-3.2-3B/raw/prefill_input2048_c1.json
prefill,meta-llama/Llama-3.2-3B,4096,1,1,16,16,80.83420962793753,83.29544146545231,87.92290987912565,0.0,0.0,0.0,80.83402484771796,83.2952510099858,87.92267146054655,results/Llama-3.2-3B/raw/prefill_input4096_c1.json
prefill,meta-llama/Llama-3.2-3B,8192,1,1,16,16,173.79463420365937,182.41661158390343,185.0526393391192,0.0,0.0,0.0,173.79442520905286,182.41640646010637,185.05238846410066,results/Llama-3.2-3B/raw/prefill_input8192_c1.json
prefill,meta-llama/Llama-3.2-3B,16384,1,1,16,16,433.1903964630328,457.37106911838055,461.60150540526956,0.0,0.0,0.0,433.1901830737479,457.37086376175284,461.6012827027589,results/Llama-3.2-3B/raw/prefill_input16384_c1.json
prefill,meta-llama/Llama-3.2-3B,32767,1,1,16,16,1877.0023563120048,2004.1503985412419,2013.4804669069126,0.0,0.0,0.0,1877.0021444943268,2004.1501179803163,2013.4802119573578,results/Llama-3.2-3B/raw/prefill_input32767_c1.json
decode,meta-llama/Llama-3.2-3B,8192,256,1,16,16,192.7730314200744,306.23512133024633,311.3682128023356,7.445111137463291,7.446287918434131,7.449947710276819,2091.2763714732137,2205.089037772268,2209.618503693491,results/Llama-3.2-3B/raw/decode_input8192_output256_c1.json
decode,meta-llama/Llama-3.2-3B,8192,256,2,16,16,49.73654207424261,47.03788785263896,67.30976398102939,8.4565857376255,8.459246555781538,8.469440549721615,2206.1659051687457,2202.071489300579,2223.257029429078,results/Llama-3.2-3B/raw/decode_input8192_output256_c2.json
decode,meta-llama/Llama-3.2-3B,8192,256,4,16,16,87.73188182385638,91.48564655333757,111.0887456452474,9.899114494385453,9.90761740352301,9.926382531229335,2612.006077892147,2618.1956159416586,2637.7429228741676,results/Llama-3.2-3B/raw/decode_input8192_output256_c4.json
decode,meta-llama/Llama-3.2-3B,8192,256,8,32,32,490.54078019980807,309.76944300346076,1292.881364491768,15.272115748238695,14.978629327835696,19.14393521361418,4384.930296000675,3942.4841708969325,6054.0904252789915,results/Llama-3.2-3B/raw/decode_input8192_output256_c8.json
decode,meta-llama/Llama-3.2-3B,8192,256,16,64,64,1004.7472970545641,719.5782584603876,3791.716674412599,24.761854467956876,20.024865580832255,34.18339475076281,7319.020186383568,5768.128480063751,12502.435124642214,results/Llama-3.2-3B/raw/decode_input8192_output256_c16.json
