phase,model,input_len,output_len,concurrency,num_prompts,completed,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,raw_json
prefill,Qwen/Qwen3-8B,512,1,1,16,16,44.43580497172661,43.54595812037587,52.92280972935259,0.0,0.0,0.0,44.43566163536161,43.54582820087671,52.92263382580131,results/Qwen3-8B/raw/prefill_input512_c1.json
prefill,Qwen/Qwen3-8B,1024,1,1,16,16,46.90649930853397,47.06081701442599,55.69434305652976,0.0,0.0,0.0,46.90635288716294,47.06066194921732,55.69417309015989,results/Qwen3-8B/raw/prefill_input1024_c1.json
prefill,Qwen/Qwen3-8B,2048,1,1,16,16,84.38328234478831,86.95437153801322,93.68863492272794,0.0,0.0,0.0,84.38313697115518,86.95423090830445,93.68848172016442,results/Qwen3-8B/raw/prefill_input2048_c1.json
prefill,Qwen/Qwen3-8B,4096,1,1,16,16,158.41884902329184,166.0008318722248,170.54177820682526,0.0,0.0,0.0,158.418695704313,166.00067191757262,170.5416348995641,results/Qwen3-8B/raw/prefill_input4096_c1.json
prefill,Qwen/Qwen3-8B,8192,1,1,16,16,348.7827189383097,367.13294102810323,384.83343145344406,0.0,0.0,0.0,348.78257432137616,367.1327556949109,384.83329385053366,results/Qwen3-8B/raw/prefill_input8192_c1.json
prefill,Qwen/Qwen3-8B,16384,1,1,16,16,1365.7760045898613,1504.3003086466342,1512.3567150440067,0.0,0.0,0.0,1365.775869373465,1504.3001687154174,1512.3565949033946,results/Qwen3-8B/raw/prefill_input16384_c1.json
prefill,Qwen/Qwen3-8B,32767,1,1,16,15,3638.0718062942224,3892.3774431459606,3901.1142247822136,0.0,0.0,0.0,3638.0716425987584,3892.377282027155,3901.1140835937113,results/Qwen3-8B/raw/prefill_input32767_c1.json
decode,Qwen/Qwen3-8B,8192,256,1,16,16,576.9599312916398,652.4271126836538,657.0868234848604,14.279537117702194,14.279173921757177,14.284073627626924,4218.241896305699,4293.69332967326,4297.802205313928,results/Qwen3-8B/raw/decode_input8192_output256_c1.json
decode,Qwen/Qwen3-8B,8192,256,2,16,16,80.16350443358533,80.11324959807098,87.229517637752,15.338580345155158,15.339060270172709,15.343502725876283,3991.501492448151,3992.543113650754,3996.2563323788345,results/Qwen3-8B/raw/decode_input8192_output256_c2.json
decode,Qwen/Qwen3-8B,8192,256,4,16,16,115.39369457750581,121.88734789378941,145.674908766523,17.127334415529145,17.118945005623733,17.169174257501524,4482.863970537437,4489.430043147877,4511.408539139666,results/Qwen3-8B/raw/decode_input8192_output256_c4.json
decode,Qwen/Qwen3-8B,8192,256,8,32,32,1837.5208298239158,1200.6247106473893,5851.40106533654,28.829776262179674,28.191981458232977,42.443893204589244,9189.113776679733,10099.298739805818,13319.811616977675,results/Qwen3-8B/raw/decode_input8192_output256_c8.json
decode,Qwen/Qwen3-8B,8192,256,16,64,64,2568.786272422585,1518.671612488106,8328.557807207102,58.31446706456607,62.99708373753318,63.76754119334853,17438.975373886933,17712.548051029444,23874.47670276742,results/Qwen3-8B/raw/decode_input8192_output256_c16.json
