phase,model,input_len,output_len,concurrency,num_prompts,completed,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,raw_json
prefill,meta-llama/Llama-3.1-8B,512,1,1,16,16,43.444796290714294,43.44506352208555,51.958365831524134,0.0,0.0,0.0,43.44462035805918,43.444883543998,51.9581432454288,results/Llama-3.1-8B/raw/prefill_input512_c1.json
prefill,meta-llama/Llama-3.1-8B,1024,1,1,16,16,45.42650011717342,45.71733414195478,55.43708079494536,0.0,0.0,0.0,45.426355296513066,45.717214001342654,55.43688533362001,results/Llama-3.1-8B/raw/prefill_input1024_c1.json
prefill,meta-llama/Llama-3.1-8B,2048,1,1,16,16,79.76341116591357,82.16385007835925,86.96011581923813,0.0,0.0,0.0,79.76326404605061,82.16370944865048,86.95997286122292,results/Llama-3.1-8B/raw/prefill_input2048_c1.json
prefill,meta-llama/Llama-3.1-8B,4096,1,1,16,16,150.84768857923336,158.42866199091077,160.65490432083607,0.0,0.0,0.0,150.84753252449445,158.42850599437952,160.65472667105496,results/Llama-3.1-8B/raw/prefill_input4096_c1.json
prefill,meta-llama/Llama-3.1-8B,8192,1,1,16,16,328.04543562815525,346.35750111192465,349.61371205281466,0.0,0.0,0.0,328.0452722974587,346.35733091272414,349.6135243913159,results/Llama-3.1-8B/raw/prefill_input8192_c1.json
prefill,meta-llama/Llama-3.1-8B,16384,1,1,16,16,1205.2398193627596,1431.6540483850986,1442.483576363884,0.0,0.0,0.0,1205.2396648505237,1431.6539033316076,1442.4833913799375,results/Llama-3.1-8B/raw/prefill_input16384_c1.json
prefill,meta-llama/Llama-3.1-8B,32767,1,1,16,16,3434.9265127966646,3656.333898426965,3665.6043457333,0.0,0.0,0.0,3434.9263217882253,3656.3336874824017,3665.604191017337,results/Llama-3.1-8B/raw/prefill_input32767_c1.json
decode,meta-llama/Llama-3.1-8B,8192,256,1,16,16,517.9968423908576,625.0879352446645,629.7272853553295,13.715814106513326,13.715790311678074,13.719597008700173,4015.529439551756,4122.794462367892,4127.525256597437,results/Llama-3.1-8B/raw/decode_input8192_output256_c1.json
decode,meta-llama/Llama-3.1-8B,8192,256,2,16,16,65.8966924820561,67.39879841916263,75.83912904374301,14.920982254860814,14.915688929385414,14.944938079490527,3870.7471674715634,3870.551200117916,3879.227232071571,results/Llama-3.1-8B/raw/decode_input8192_output256_c2.json
decode,meta-llama/Llama-3.1-8B,8192,256,4,16,16,99.76029564859346,93.91809976659715,114.51341607607901,16.551602191483493,16.55582557797578,16.56047457226497,4320.418854476884,4316.388290375471,4334.09095951356,results/Llama-3.1-8B/raw/decode_input8192_output256_c4.json
decode,meta-llama/Llama-3.1-8B,8192,256,8,32,32,1324.7501406585798,1270.4409672878683,4100.520234578289,26.22659333870865,27.533262530706967,34.20796128656423,8012.531442029285,7199.51784517616,12614.363824995235,results/Llama-3.1-8B/raw/decode_input8192_output256_c8.json
decode,meta-llama/Llama-3.1-8B,8192,256,16,64,64,2450.219636040856,1287.105635041371,8056.875091232355,57.470164725308166,61.179691900079156,65.11342087130555,17105.111640994437,16890.726463170722,24696.462813043032,results/Llama-3.1-8B/raw/decode_input8192_output256_c16.json
