phase,model,input_len,output_len,concurrency,num_prompts,completed,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,raw_json
prefill,Qwen/Qwen3-14B,512,1,1,16,16,72.1783858462004,73.94745445344597,79.99673404265195,0.0,0.0,0.0,72.17819400830194,73.9472844870761,79.99653794104233,results/Qwen3-14B-rerun-3/raw/prefill_input512_c1.json
prefill,Qwen/Qwen3-14B,1024,1,1,16,16,75.03444477333687,77.45027157943696,80.95927932299674,0.0,0.0,0.0,75.0342260726029,77.45009148493409,80.95907571259886,results/Qwen3-14B-rerun-3/raw/prefill_input1024_c1.json
prefill,Qwen/Qwen3-14B,2048,1,1,16,16,134.66674990195315,139.62162344250828,152.58146601263434,0.0,0.0,0.0,134.66660646372475,139.62149352300912,152.58133015595376,results/Qwen3-14B-rerun-3/raw/prefill_input2048_c1.json
prefill,Qwen/Qwen3-14B,4096,1,1,16,16,328.6932943301508,273.76385300885886,511.31657260702923,0.0,0.0,0.0,328.6931784969056,273.7637229729444,511.31646253634244,results/Qwen3-14B-rerun-3/raw/prefill_input4096_c1.json
prefill,Qwen/Qwen3-14B,8192,1,1,16,16,1033.1239746155916,1097.694055410102,1103.0899130855687,0.0,0.0,0.0,1033.1236955680652,1097.6938200183213,1103.0893923598342,results/Qwen3-14B-rerun-3/raw/prefill_input8192_c1.json
prefill,Qwen/Qwen3-14B,16384,1,1,16,16,2343.305445087026,2493.0061619961634,2501.7431923770346,0.0,0.0,0.0,2343.305182905169,2493.0058914469555,2501.7429441795684,results/Qwen3-14B-rerun-3/raw/prefill_input16384_c1.json
prefill,Qwen/Qwen3-14B,32767,1,1,16,16,5800.597089633811,6178.474825574085,6193.964563950431,0.0,0.0,0.0,5800.5968286743155,6178.474580054171,6193.9643061487,results/Qwen3-14B-rerun-3/raw/prefill_input32767_c1.json
decode,Qwen/Qwen3-14B,8192,256,1,16,16,1043.2958983728895,1108.3919160300866,1113.9980281004682,23.61035074350452,23.605197052672214,23.629985043696838,7063.935337966541,7127.522895927541,7136.863162741065,results/Qwen3-14B-rerun-3/raw/decode_input8192_output256_c1.json
decode,Qwen/Qwen3-14B,8192,256,2,16,16,1469.917115449789,1417.4585315631703,1983.469728322234,26.780163238735813,27.40623414899935,28.412839616237974,8298.858741327422,8428.712940076366,8678.860479441937,results/Qwen3-14B-rerun-3/raw/decode_input8192_output256_c2.json
decode,Qwen/Qwen3-14B,8192,256,4,16,16,1834.4584049191326,1871.7690740013495,2784.189223719295,35.13220422039512,35.52722563948847,38.436431283879955,10793.170481119887,10797.864182037301,11895.38064604858,results/Qwen3-14B-rerun-3/raw/decode_input8192_output256_c4.json
decode,Qwen/Qwen3-14B,8192,256,8,32,32,6096.643873344874,3902.002404560335,12254.288408451244,46.18479125532687,47.58590565647418,49.494521290009075,17873.765643453225,16126.760348095559,24768.2090136921,results/Qwen3-14B-rerun-3/raw/decode_input8192_output256_c8.json
decode,Qwen/Qwen3-14B,8192,256,16,64,64,22464.740208506555,26888.109149527736,28471.798826055594,47.18760945844206,47.67512531184098,49.586903214518564,34497.58062040928,38044.884859002195,41068.270710250355,results/Qwen3-14B-rerun-3/raw/decode_input8192_output256_c16.json
