month,whisker_low,q1,median,q3,whisker_high,iqr,operational_hours
2025-01-01,1.0,10.0,15.0,24.0,45.0,14.0,592.0664373144444
2025-02-01,0.0,10.0,18.0,30.0,60.0,20.0,545.1691666666667
2025-03-01,0.0,9.0,14.0,32.0,66.0,23.0,744.0
2025-04-01,1.0,9.0,14.0,29.0,59.0,20.0,718.7594444444444
2025-05-01,1.0,18.0,35.0,69.0,145.0,51.0,643.9994602052777
2025-06-01,2.0,16.0,24.0,39.0,73.0,23.0,720.0
2025-07-01,1.0,11.0,19.0,47.0,101.0,36.0,744.0
2025-08-01,0.0,16.0,32.0,110.0,251.0,94.0,662.7111382205555
2025-09-01,1.0,19.0,41.0,101.0,224.0,82.0,704.9721385002778
2025-10-01,1.0,16.0,35.0,78.0,171.0,62.0,744.0
2025-11-01,0.0,9.0,15.0,72.0,166.0,63.0,720.0
2025-12-01,1.0,11.0,32.0,101.0,236.0,90.0,744.0
